Titulo,Autor(es),DOI,URL,Journal,NCBIID,Citation,PMCID,Año de Publicación
Vaginal microbiota of pregnant women with Ureaplasma urealyticum and Mycoplasma hominis infections.,"Oh KY, Lee S, Park J, Park MH, Jeong JH, Yang JB, Lim CK, Ha JG, Yang YS",10.3389/fcimb.2024.1445300,https://ncbi.nlm.nih.gov/pubmed/39315333,Front Cell Infect Microbiol,39315333,"Oh KY, et al. Vaginal microbiota of pregnant women with Ureaplasma urealyticum and Mycoplasma hominis infections. Vaginal microbiota of pregnant women with Ureaplasma urealyticum and Mycoplasma hominis infections. 2024; 14:1445300. doi: 10.3389/fcimb.2024.1445300",N/A,2024
"Analysis of the correlation between cervical HPV infection, cervical lesions and vaginal microecology.","Fan Z, Han D, Fan X, Zeng Y, Zhao L",10.3389/fcimb.2024.1405789,https://ncbi.nlm.nih.gov/pubmed/39220285,Front Cell Infect Microbiol,39220285,"Fan Z, et al. Analysis of the correlation between cervical HPV infection, cervical lesions and vaginal microecology. Analysis of the correlation between cervical HPV infection, cervical lesions and vaginal microecology. 2024; 14:1405789. doi: 10.3389/fcimb.2024.1405789",N/A,2024
Comparison of Vaginal microbiota in HPV-negative and HPV-positive pregnant women using a culture-based approach.,"Irina P, Alena V, Arsene MMJ, Milana D, Alla P, Lyudmila K, Boris E",10.1016/j.diagmicrobio.2024.116419,https://ncbi.nlm.nih.gov/pubmed/39116654,Diagn Microbiol Infect Dis,39116654,"Irina P, et al. Comparison of Vaginal microbiota in HPV-negative and HPV-positive pregnant women using a culture-based approach. Comparison of Vaginal microbiota in HPV-negative and HPV-positive pregnant women using a culture-based approach. 2024; 110:116419. doi: 10.1016/j.diagmicrobio.2024.116419",N/A,2024
Assessing vaginal microbiome through Vaginal Microecology Evaluation System as a predictor for in vitro fertilization outcomes: a retrospective study.,"Tian Q, Jin S, Zhang G, Liu Y, Liu J, Tang X, Li Y, Liu J, Liu Y, Wang Z",10.3389/fendo.2024.1380187,https://ncbi.nlm.nih.gov/pubmed/39045277,Front Endocrinol (Lausanne),39045277,"Tian Q, et al. Assessing vaginal microbiome through Vaginal Microecology Evaluation System as a predictor for in vitro fertilization outcomes: a retrospective study. Assessing vaginal microbiome through Vaginal Microecology Evaluation System as a predictor for in vitro fertilization outcomes: a retrospective study. 2024; 15:1380187. doi: 10.3389/fendo.2024.1380187",N/A,2024
An insight into the vaginal microbiome of infertile women in Bangladesh using metagenomic approach.,"Hasan Z, Netherland M, Hasan NA, Begum N, Yasmin M, Ahmed S",10.3389/fcimb.2024.1390088,https://ncbi.nlm.nih.gov/pubmed/39040604,Front Cell Infect Microbiol,39040604,"Hasan Z, et al. An insight into the vaginal microbiome of infertile women in Bangladesh using metagenomic approach. An insight into the vaginal microbiome of infertile women in Bangladesh using metagenomic approach. 2024; 14:1390088. doi: 10.3389/fcimb.2024.1390088",N/A,2024
Biomarker Identification for Preterm Birth Susceptibility: Vaginal Microbiome Meta-Analysis Using Systems Biology and Machine Learning Approaches.,"Kulshrestha S, Narad P, Singh B, Pai SS, Vijayaraghavan P, Tandon A, Gupta P, Modi D, Sengupta A",10.1111/aji.13905,https://ncbi.nlm.nih.gov/pubmed/39033501,Am J Reprod Immunol,39033501,"Kulshrestha S, et al. Biomarker Identification for Preterm Birth Susceptibility: Vaginal Microbiome Meta-Analysis Using Systems Biology and Machine Learning Approaches. Biomarker Identification for Preterm Birth Susceptibility: Vaginal Microbiome Meta-Analysis Using Systems Biology and Machine Learning Approaches. 2024; 92:e13905. doi: 10.1111/aji.13905",N/A,2024
The vaginal microbiome of South African pregnant women living with human immunodeficiency virus (HIV) with and without Chlamydia trachomatis infection.,"Mabaso NG, Ngobese B, Ganesan H, van der Westhuizen D, Hassan WM, Abbai NS",10.1186/s12905-024-03246-1,https://ncbi.nlm.nih.gov/pubmed/39026297,BMC Womens Health,39026297,"Mabaso NG, et al. The vaginal microbiome of South African pregnant women living with human immunodeficiency virus (HIV) with and without Chlamydia trachomatis infection. The vaginal microbiome of South African pregnant women living with human immunodeficiency virus (HIV) with and without Chlamydia trachomatis infection. 2024; 24:410. doi: 10.1186/s12905-024-03246-1",N/A,2024
Investigations of microbiota composition and neuroactive pathways in association with symptoms of stress and depression in a cohort of healthy women.,"Bashir Z, Hugerth LW, Krog MC, Prast-Nielsen S, Edfeldt G, Boulund F, Schacht SR, Tetens I, Engstrand L, Schuppe-Koistinen I, Fransson E, Nielsen HS",10.3389/fcimb.2024.1324794,https://ncbi.nlm.nih.gov/pubmed/39015337,Front Cell Infect Microbiol,39015337,"Bashir Z, et al. Investigations of microbiota composition and neuroactive pathways in association with symptoms of stress and depression in a cohort of healthy women. Investigations of microbiota composition and neuroactive pathways in association with symptoms of stress and depression in a cohort of healthy women. 2024; 14:1324794. doi: 10.3389/fcimb.2024.1324794",N/A,2024
Effect of progestin-based contraceptives on HIV-associated vaginal immune biomarkers and microbiome in adolescent girls.,"Nasr MA, Aldous A, Daniels J, Joy C, Capozzi E, Yang M, Moriarty P, Emmanuel-Baker V, Malcolm S, Green SJ, Gomez-Lobo V, Ghosh M",10.1371/journal.pone.0306237,https://ncbi.nlm.nih.gov/pubmed/39008499,PLoS One,39008499,"Nasr MA, et al. Effect of progestin-based contraceptives on HIV-associated vaginal immune biomarkers and microbiome in adolescent girls. Effect of progestin-based contraceptives on HIV-associated vaginal immune biomarkers and microbiome in adolescent girls. 2024; 19:e0306237. doi: 10.1371/journal.pone.0306237",N/A,2024
Molecular characterization of vaginal microbiota using a new 22-species qRT-PCR test to achieve a relative-abundance and species-based diagnosis of bacterial vaginosis.,"Oyenihi AB, Haines R, Trama J, Faro S, Mordechai E, Adelson ME, Osei Sekyere J",10.3389/fcimb.2024.1409774,https://ncbi.nlm.nih.gov/pubmed/39006741,Front Cell Infect Microbiol,39006741,"Oyenihi AB, et al. Molecular characterization of vaginal microbiota using a new 22-species qRT-PCR test to achieve a relative-abundance and species-based diagnosis of bacterial vaginosis. Molecular characterization of vaginal microbiota using a new 22-species qRT-PCR test to achieve a relative-abundance and species-based diagnosis of bacterial vaginosis. 2024; 14:1409774. doi: 10.3389/fcimb.2024.1409774",N/A,2024
